name,url,country,type
El Sol de Margarita,https://www.elsoldemargarita.com.ve/,Venezuela,newspaper
Últimas Noticias,https://www.ultimasnoticias.com.ve/,Venezuela,newspaper
El Nacional,https://www.elnacional.com/,Venezuela,newspaper
Panorama,https://www.panorama.com.ve/,Venezuela,newspaper
El Carabobeño,https://www.el-carabobeno.com/,Venezuela,newspaper
La Verdad,https://www.laverdad.com/,Venezuela,newspaper
Tal Cual,https://talcualdigital.com/,Venezuela,newspaper
Notitarde,https://www.notitarde.com/,Venezuela,newspaper
El Impulso,https://www.elimpulso.com/,Venezuela,newspaper
El Tiempo,https://www.eltiempo.com.ve/,Venezuela,newspaper
2001,https://www.2001.com.ve/,Venezuela,newspaper
El Aragueño,https://www.elaragueno.com.ve/,Venezuela,newspaper
La Prensa de Lara,https://www.laprensalara.com.ve/,Venezuela,newspaper
El Siglo,https://www.elsiglo.com.ve/,Venezuela,newspaper
Noticia al Día,https://noticiaaldia.com/,Venezuela,newspaper
Diario VEA,https://www.diariovea.online/,Venezuela,newspaper
Correo del Orinoco,https://www.correodelorinoco.gob.ve/,Venezuela,newspaper
La Iguana TV,https://www.laiguana.tv/,Venezuela,newspaper
Diario Los Andes,https://www.diariolosandes.com.ve/,Venezuela,newspaper
Diario La Nación,https://lanacionweb.com/,Venezuela,newspaper
